date,ind_prod_indx
1/1/1919,4.7851
2/1/1919,4.597
3/1/1919,4.4894
4/1/1919,4.5701
5/1/1919,4.7045
6/1/1919,5.0002
7/1/1919,5.1615
8/1/1919,5.269
9/1/1919,5.2959
10/1/1919,5.269
11/1/1919,5.1615
12/1/1919,4.812
1/1/1920,5.4841
2/1/1920,5.511
3/1/1920,5.511
4/1/1920,5.1615
5/1/1920,5.4841
6/1/1920,5.4841
7/1/1920,5.1884
8/1/1920,5.2959
9/1/1920,5.1884
10/1/1920,5.054
11/1/1920,4.5701
12/1/1920,4.0055
1/1/1921,3.9249
2/1/1921,3.8711
3/1/1921,3.7636
4/1/1921,3.7905
5/1/1921,3.9787
6/1/1921,3.9249
7/1/1921,3.7905
8/1/1921,3.9787
9/1/1921,4.0862
10/1/1921,4.355
11/1/1921,4.2475
12/1/1921,3.898
1/1/1922,4.2475
2/1/1922,4.5432
3/1/1922,4.812
4/1/1922,4.597
5/1/1922,4.8927
6/1/1922,5.1346
7/1/1922,5.0002
8/1/1922,4.9196
9/1/1922,5.2959
10/1/1922,5.6992
11/1/1922,5.8604
12/1/1922,5.6454
1/1/1923,5.6454
2/1/1923,5.8336
3/1/1923,6.1024
4/1/1923,6.2099
5/1/1923,6.3712
6/1/1923,6.2906
7/1/1923,6.0755
8/1/1923,6.1024
9/1/1923,6.1024
10/1/1923,6.1024
11/1/1923,5.9411
12/1/1923,5.4841
1/1/1924,5.726
2/1/1924,5.968
3/1/1924,5.968
4/1/1924,5.7529
5/1/1924,5.5379
6/1/1924,5.269
7/1/1924,5.054
8/1/1924,5.3766
9/1/1924,5.726
10/1/1924,5.8604
11/1/1924,5.8067
12/1/1924,5.6454
1/1/1925,5.968
2/1/1925,6.1024
3/1/1925,6.183
4/1/1925,6.2099
5/1/1925,6.2099
6/1/1925,6.1024
7/1/1925,6.1024
8/1/1925,6.2099
9/1/1925,6.2906
10/1/1925,6.5056
11/1/1925,6.4519
12/1/1925,6.183
1/1/1926,6.2099
2/1/1926,6.425
3/1/1926,6.5594
4/1/1926,6.5325
5/1/1926,6.5325
6/1/1926,6.5325
7/1/1926,6.425
8/1/1926,6.7476
9/1/1926,6.9895
10/1/1926,6.9895
11/1/1926,6.7476
12/1/1926,6.3175
1/1/1927,6.425
2/1/1927,6.7476
3/1/1927,6.882
4/1/1927,6.7476
5/1/1927,6.7745
6/1/1927,6.7207
7/1/1927,6.425
8/1/1927,6.6401
9/1/1927,6.7207
10/1/1927,6.6132
11/1/1927,6.3175
12/1/1927,5.9949
1/1/1928,6.2637
2/1/1928,6.5594
3/1/1928,6.7207
4/1/1928,6.7207
5/1/1928,6.7745
6/1/1928,6.7745
7/1/1928,6.6669
8/1/1928,7.0164
9/1/1928,7.2852
10/1/1928,7.4197
11/1/1928,7.1777
12/1/1928,6.7745
1/1/1929,7.1777
2/1/1929,7.4734
3/1/1929,7.581
4/1/1929,7.796
5/1/1929,7.9842
6/1/1929,7.9035
7/1/1929,7.7422
8/1/1929,7.8767
9/1/1929,8.038
10/1/1929,7.9035
11/1/1929,7.1777
12/1/1929,6.4519
1/1/1930,6.6401
2/1/1930,6.882
3/1/1930,6.8282
4/1/1930,6.9089
5/1/1930,6.882
6/1/1930,6.6132
7/1/1930,6.1024
8/1/1930,6.0755
9/1/1930,6.183
10/1/1930,5.968
11/1/1930,5.5379
12/1/1930,5.1615
1/1/1931,5.1884
2/1/1931,5.4841
3/1/1931,5.6185
4/1/1931,5.7529
5/1/1931,5.6992
6/1/1931,5.4841
7/1/1931,5.269
8/1/1931,5.1615
9/1/1931,5.1346
10/1/1931,4.8927
11/1/1931,4.6507
12/1/1931,4.3819
1/1/1932,4.355
2/1/1932,4.4357
3/1/1932,4.3281
4/1/1932,4.14
5/1/1932,4.0055
6/1/1932,3.8711
7/1/1932,3.6292
8/1/1932,3.7636
9/1/1932,4.2206
10/1/1932,4.3281
11/1/1932,4.14
12/1/1932,3.898
1/1/1933,3.898
2/1/1933,4.0324
3/1/1933,3.7636
4/1/1933,4.1131
5/1/1933,4.812
6/1/1933,5.511
7/1/1933,5.8604
8/1/1933,5.6992
9/1/1933,5.5916
10/1/1933,5.1884
11/1/1933,4.7851
12/1/1933,4.6507
1/1/1934,4.812
2/1/1934,5.269
3/1/1934,5.5379
4/1/1934,5.6454
5/1/1934,5.726
6/1/1934,5.6185
7/1/1934,5.1077
8/1/1934,5.1346
9/1/1934,5.0271
10/1/1934,5.1077
11/1/1934,4.9464
12/1/1934,5.1346
1/1/1935,5.6185
2/1/1935,5.9411
3/1/1935,5.9142
4/1/1935,5.8336
5/1/1935,5.8336
6/1/1935,5.8336
7/1/1935,5.7529
8/1/1935,6.0755
9/1/1935,6.3175
10/1/1935,6.6132
11/1/1935,6.6132
12/1/1935,6.4519
1/1/1936,6.3175
2/1/1936,6.3175
3/1/1936,6.425
4/1/1936,6.882
5/1/1936,7.0971
6/1/1936,7.1239
7/1/1936,7.1239
8/1/1936,7.3659
9/1/1936,7.6616
10/1/1936,7.8767
11/1/1936,7.9035
12/1/1936,7.9035
1/1/1937,7.6885
2/1/1937,8.0111
3/1/1937,8.3337
4/1/1937,8.3874
5/1/1937,8.495
6/1/1937,8.253
7/1/1937,8.1186
8/1/1937,8.253
9/1/1937,8.1993
10/1/1937,7.6885
11/1/1937,6.7476
12/1/1937,5.968
1/1/1938,5.6992
2/1/1938,5.7529
3/1/1938,5.8336
4/1/1938,5.6992
5/1/1938,5.6454
6/1/1938,5.6454
7/1/1938,5.9411
8/1/1938,6.3981
9/1/1938,6.7745
10/1/1938,6.9626
11/1/1938,7.0971
12/1/1938,6.9089
1/1/1939,7.0971
2/1/1939,7.0971
3/1/1939,7.0971
4/1/1939,6.9626
5/1/1939,6.9895
6/1/1939,7.2315
7/1/1939,7.3659
8/1/1939,7.4734
9/1/1939,8.038
10/1/1939,8.5487
11/1/1939,8.7907
12/1/1939,8.7369
1/1/1940,8.6025
2/1/1940,8.253
3/1/1940,8.038
4/1/1940,8.0917
5/1/1940,8.3606
6/1/1940,8.71
7/1/1940,8.7369
8/1/1940,8.8444
9/1/1940,9.1402
10/1/1940,9.3552
11/1/1940,9.5972
12/1/1940,9.866
1/1/1941,10.0811
2/1/1941,10.2961
3/1/1941,10.5649
4/1/1941,10.5112
5/1/1941,11.022
6/1/1941,11.2101
7/1/1941,11.237
8/1/1941,11.4252
9/1/1941,11.5327
10/1/1941,11.694
11/1/1941,11.7747
12/1/1941,11.9091
1/1/1942,12.1241
2/1/1942,12.2854
3/1/1942,12.393
4/1/1942,11.9897
5/1/1942,12.0435
6/1/1942,12.151
7/1/1942,12.3661
8/1/1942,12.7962
9/1/1942,13.0919
10/1/1942,13.5489
11/1/1942,13.8715
12/1/1942,14.1672
1/1/1943,14.3285
2/1/1943,14.678
3/1/1943,14.8393
4/1/1943,15.0006
5/1/1943,15.135
6/1/1943,15.135
7/1/1943,15.4307
8/1/1943,15.7802
9/1/1943,16.1028
10/1/1943,16.3448
11/1/1943,16.506
12/1/1943,16.2641
1/1/1944,16.5867
2/1/1944,16.8018
3/1/1944,16.8286
4/1/1944,16.8286
5/1/1944,16.8018
6/1/1944,16.8286
7/1/1944,16.5867
8/1/1944,16.748
9/1/1944,16.506
10/1/1944,16.506
11/1/1944,16.3716
12/1/1944,16.2641
1/1/1945,16.291
2/1/1945,16.3448
3/1/1945,16.291
4/1/1945,16.0222
5/1/1945,15.6727
6/1/1945,15.377
7/1/1945,14.8393
8/1/1945,13.2532
9/1/1945,12.0166
10/1/1945,11.479
11/1/1945,11.9091
12/1/1945,11.8822
1/1/1946,11.3714
2/1/1946,10.8607
3/1/1946,12.0166
4/1/1946,11.7747
5/1/1946,11.3445
6/1/1946,12.1241
7/1/1946,12.393
8/1/1946,12.85
9/1/1946,13.0919
10/1/1946,13.2532
11/1/1946,13.307
12/1/1946,13.2801
1/1/1947,13.5489
2/1/1947,13.8178
3/1/1947,13.8715
4/1/1947,13.6027
5/1/1947,13.5221
6/1/1947,13.6296
7/1/1947,12.85
8/1/1947,13.8178
9/1/1947,14.1672
10/1/1947,14.5705
11/1/1947,14.4629
12/1/1947,14.1941
1/1/1948,14.2748
2/1/1948,14.4361
3/1/1948,14.221
4/1/1948,14.0866
5/1/1948,14.1941
6/1/1948,14.4629
7/1/1948,13.8178
8/1/1948,14.6242
9/1/1948,14.8662
10/1/1948,15.1888
11/1/1948,14.678
12/1/1948,14.221
1/1/1949,14.0597
2/1/1949,14.0866
3/1/1949,13.8178
4/1/1949,13.5221
5/1/1949,13.2532
6/1/1949,13.307
7/1/1949,12.6349
8/1/1949,13.7102
9/1/1949,14.0597
10/1/1949,13.764
11/1/1949,13.7102
12/1/1949,13.6296
1/1/1950,13.9791
2/1/1950,14.1672
3/1/1950,14.6242
4/1/1950,14.9737
5/1/1950,15.1081
6/1/1950,15.6996
7/1/1950,15.2426
8/1/1950,16.9631
9/1/1950,17.0975
10/1/1950,17.5545
11/1/1950,16.9631
12/1/1950,16.9362
1/1/1951,17.0437
2/1/1951,17.4201
3/1/1951,17.5545
4/1/1951,17.3663
5/1/1951,17.0706
6/1/1951,17.2588
7/1/1951,15.9953
8/1/1951,16.8555
9/1/1951,17.2588
10/1/1951,17.3932
11/1/1951,17.1781
12/1/1951,16.9362
1/1/1952,17.205
2/1/1952,17.6082
3/1/1952,17.7158
4/1/1952,17.2588
5/1/1952,16.9631
6/1/1952,17.0168
7/1/1952,15.7802
8/1/1952,17.7695
9/1/1952,18.7642
10/1/1952,19.1406
11/1/1952,19.1406
12/1/1952,18.8448
1/1/1953,19.033
2/1/1953,19.5438
3/1/1953,19.7857
4/1/1953,19.5976
5/1/1953,19.5976
6/1/1953,19.6513
7/1/1953,18.6836
8/1/1953,19.5976
9/1/1953,19.49
10/1/1953,19.5976
11/1/1953,18.6836
12/1/1953,17.9308
1/1/1954,18.0115
2/1/1954,18.2803
3/1/1954,18.1997
4/1/1954,17.9846
5/1/1954,18.0115
6/1/1954,18.2265
7/1/1954,17.1512
8/1/1954,18.0115
9/1/1954,18.3878
10/1/1954,18.7911
11/1/1954,18.8448
12/1/1954,18.7642
1/1/1955,19.2212
2/1/1955,19.732
3/1/1955,20.189
4/1/1955,20.3503
5/1/1955,20.5116
6/1/1955,20.7535
7/1/1955,19.5976
8/1/1955,20.5922
9/1/1955,21.103
10/1/1955,21.7482
11/1/1955,21.5331
12/1/1955,21.2105
1/1/1956,21.2643
2/1/1956,21.4794
3/1/1956,21.5062
4/1/1956,21.6407
5/1/1956,21.3181
6/1/1956,21.4256
7/1/1956,19.3825
8/1/1956,21.2105
9/1/1956,21.9901
10/1/1956,22.4203
11/1/1956,21.9901
12/1/1956,21.7751
1/1/1957,21.7751
2/1/1957,22.3127
3/1/1957,22.3396
4/1/1957,21.8826
5/1/1957,21.7213
6/1/1957,22.1783
7/1/1957,20.8611
8/1/1957,22.0708
9/1/1957,22.1246
10/1/1957,21.9901
11/1/1957,21.2105
12/1/1957,20.2965
1/1/1958,20.0277
2/1/1958,19.8126
3/1/1958,19.5976
4/1/1958,19.2212
5/1/1958,19.3287
6/1/1958,20.2428
7/1/1958,19.275
8/1/1958,20.6191
9/1/1958,21.3181
10/1/1958,21.5331
11/1/1958,21.8289
12/1/1958,21.3718
1/1/1959,21.7482
2/1/1959,22.4203
3/1/1959,22.9042
4/1/1959,23.3343
5/1/1959,23.6031
6/1/1959,24.0601
7/1/1959,22.0977
8/1/1959,22.2321
9/1/1959,22.6622
10/1/1959,22.6891
11/1/1959,22.3396
12/1/1959,23.1461
1/1/1960,23.8182
2/1/1960,23.9526
3/1/1960,23.8988
4/1/1960,23.7106
5/1/1960,23.6569
6/1/1960,23.7106
7/1/1960,22.2859
8/1/1960,23.0386
9/1/1960,23.388
10/1/1960,23.4956
11/1/1960,22.6622
12/1/1960,21.6676
1/1/1961,21.7751
2/1/1961,22.017
3/1/1961,22.3127
4/1/1961,22.8773
5/1/1961,23.2267
6/1/1961,23.8988
7/1/1961,22.6891
8/1/1961,23.8451
9/1/1961,24.4096
10/1/1961,24.9741
11/1/1961,24.7591
12/1/1961,24.3827
1/1/1962,24.1945
2/1/1962,24.9472
3/1/1962,25.3236
4/1/1962,25.4311
5/1/1962,25.4311
6/1/1962,25.7806
7/1/1962,24.4902
8/1/1962,25.2699
9/1/1962,26.2376
10/1/1962,26.3452
11/1/1962,25.8613
12/1/1962,25.2161
1/1/1963,25.4311
2/1/1963,26.2645
3/1/1963,26.614
4/1/1963,26.829
5/1/1963,27.0979
6/1/1963,27.6086
7/1/1963,25.7806
8/1/1963,26.5333
9/1/1963,27.7162
10/1/1963,28.1732
11/1/1963,27.6624
12/1/1963,26.8828
1/1/1964,27.2323
2/1/1964,28.0388
3/1/1964,28.1732
4/1/1964,28.6302
5/1/1964,28.7646
6/1/1964,29.2216
7/1/1964,27.5011
8/1/1964,28.5764
9/1/1964,29.7324
10/1/1964,29.4904
11/1/1964,29.6786
12/1/1964,29.3023
1/1/1965,29.7862
2/1/1965,30.5658
3/1/1965,31.211
4/1/1965,31.211
5/1/1965,31.4529
6/1/1965,32.2056
7/1/1965,30.4582
8/1/1965,31.3991
9/1/1965,32.4476
10/1/1965,33.2003
11/1/1965,32.6626
12/1/1965,32.125
1/1/1966,32.582
2/1/1966,33.496
3/1/1966,34.1681
4/1/1966,34.1143
5/1/1966,34.3562
6/1/1966,35.1358
7/1/1966,32.9583
8/1/1966,34.1412
9/1/1966,35.7273
10/1/1966,36.1036
11/1/1966,35.1358
12/1/1966,34.2487
1/1/1967,34.4638
2/1/1967,34.8192
3/1/1967,34.7659
4/1/1967,34.9632
5/1/1967,34.6787
6/1/1967,35.472
7/1/1967,33.1386
8/1/1967,34.9547
9/1/1967,35.9772
10/1/1967,36.2031
11/1/1967,36.0685
12/1/1967,35.4473
1/1/1968,35.5189
2/1/1968,36.445
3/1/1968,36.7709
4/1/1968,36.5803
5/1/1968,37.0994
6/1/1968,38.0673
7/1/1968,35.6363
8/1/1968,36.7027
9/1/1968,38.1639
10/1/1968,38.2997
11/1/1968,38.1201
12/1/1968,37.0292
1/1/1969,37.3882
2/1/1969,38.5127
3/1/1969,39.0059
4/1/1969,38.6546
5/1/1969,38.5701
6/1/1969,39.8151
7/1/1969,37.4394
8/1/1969,38.9124
9/1/1969,40.1235
10/1/1969,40.0817
11/1/1969,38.9268
12/1/1969,37.6221
1/1/1970,37.0388
2/1/1970,37.9635
3/1/1970,38.0655
4/1/1970,37.7979
5/1/1970,37.8158
6/1/1970,38.5847
7/1/1970,36.3348
8/1/1970,37.5353
9/1/1970,38.3679
10/1/1970,37.4827
11/1/1970,36.472
12/1/1970,36.1308
1/1/1971,36.5938
2/1/1971,37.5464
3/1/1971,37.6075
4/1/1971,37.6722
5/1/1971,37.9384
6/1/1971,38.9436
7/1/1971,36.4121
8/1/1971,37.6503
9/1/1971,39.3698
10/1/1971,39.5676
11/1/1971,38.8202
12/1/1971,37.7703
1/1/1972,39.0597
2/1/1972,40.2738
3/1/1972,40.7244
4/1/1972,41.2676
5/1/1972,41.3129
