"naics","business","month","sales_millions"
443141,"Household appliance stores",1992 Jan,601
443141,"Household appliance stores",1992 Feb,576
443141,"Household appliance stores",1992 Mar,631
443141,"Household appliance stores",1992 Apr,643
443141,"Household appliance stores",1992 May,662
443141,"Household appliance stores",1992 Jun,746
443141,"Household appliance stores",1992 Jul,764
443141,"Household appliance stores",1992 Aug,727
443141,"Household appliance stores",1992 Sep,682
443141,"Household appliance stores",1992 Oct,732
443141,"Household appliance stores",1992 Nov,753
443141,"Household appliance stores",1992 Dec,920
4441,"Building mat. and supplies dealers",1992 Jan,7637
4441,"Building mat. and supplies dealers",1992 Feb,7567
4441,"Building mat. and supplies dealers",1992 Mar,8718
4441,"Building mat. and supplies dealers",1992 Apr,9330
4441,"Building mat. and supplies dealers",1992 May,9731
4441,"Building mat. and supplies dealers",1992 Jun,10178
4441,"Building mat. and supplies dealers",1992 Jul,9981
4441,"Building mat. and supplies dealers",1992 Aug,9742
4441,"Building mat. and supplies dealers",1992 Sep,9813
4441,"Building mat. and supplies dealers",1992 Oct,10018
4441,"Building mat. and supplies dealers",1992 Nov,8835
4441,"Building mat. and supplies dealers",1992 Dec,8765
44812,"Women's clothing stores",1992 Jan,1873
44812,"Women's clothing stores",1992 Feb,1991
44812,"Women's clothing stores",1992 Mar,2403
44812,"Women's clothing stores",1992 Apr,2665
44812,"Women's clothing stores",1992 May,2752
44812,"Women's clothing stores",1992 Jun,2424
44812,"Women's clothing stores",1992 Jul,2373
44812,"Women's clothing stores",1992 Aug,2657
44812,"Women's clothing stores",1992 Sep,2560
44812,"Women's clothing stores",1992 Oct,2755
44812,"Women's clothing stores",1992 Nov,2946
44812,"Women's clothing stores",1992 Dec,4416
45111,"Sporting goods stores",1992 Jan,972
45111,"Sporting goods stores",1992 Feb,1100
45111,"Sporting goods stores",1992 Mar,1214
45111,"Sporting goods stores",1992 Apr,1267
45111,"Sporting goods stores",1992 May,1293
45111,"Sporting goods stores",1992 Jun,1334
45111,"Sporting goods stores",1992 Jul,1340
45111,"Sporting goods stores",1992 Aug,1377
45111,"Sporting goods stores",1992 Sep,1206
45111,"Sporting goods stores",1992 Oct,1120
45111,"Sporting goods stores",1992 Nov,1207
45111,"Sporting goods stores",1992 Dec,2153
443141,"Household appliance stores",1993 Jan,641
443141,"Household appliance stores",1993 Feb,593
443141,"Household appliance stores",1993 Mar,669
443141,"Household appliance stores",1993 Apr,701
443141,"Household appliance stores",1993 May,727
443141,"Household appliance stores",1993 Jun,803
443141,"Household appliance stores",1993 Jul,920
443141,"Household appliance stores",1993 Aug,817
443141,"Household appliance stores",1993 Sep,741
443141,"Household appliance stores",1993 Oct,773
443141,"Household appliance stores",1993 Nov,804
443141,"Household appliance stores",1993 Dec,948
4441,"Building mat. and supplies dealers",1993 Jan,7746
4441,"Building mat. and supplies dealers",1993 Feb,7932
4441,"Building mat. and supplies dealers",1993 Mar,9408
4441,"Building mat. and supplies dealers",1993 Apr,10146
4441,"Building mat. and supplies dealers",1993 May,10769
4441,"Building mat. and supplies dealers",1993 Jun,11083
4441,"Building mat. and supplies dealers",1993 Jul,10813
4441,"Building mat. and supplies dealers",1993 Aug,10905
4441,"Building mat. and supplies dealers",1993 Sep,10578
4441,"Building mat. and supplies dealers",1993 Oct,10711
4441,"Building mat. and supplies dealers",1993 Nov,10388
4441,"Building mat. and supplies dealers",1993 Dec,9947
44812,"Women's clothing stores",1993 Jan,2123
44812,"Women's clothing stores",1993 Feb,2005
44812,"Women's clothing stores",1993 Mar,2442
44812,"Women's clothing stores",1993 Apr,2762
44812,"Women's clothing stores",1993 May,2873
44812,"Women's clothing stores",1993 Jun,2552
44812,"Women's clothing stores",1993 Jul,2539
44812,"Women's clothing stores",1993 Aug,2626
44812,"Women's clothing stores",1993 Sep,2622
44812,"Women's clothing stores",1993 Oct,2713
44812,"Women's clothing stores",1993 Nov,2923
44812,"Women's clothing stores",1993 Dec,4170
45111,"Sporting goods stores",1993 Jan,1032
45111,"Sporting goods stores",1993 Feb,984
45111,"Sporting goods stores",1993 Mar,1213
45111,"Sporting goods stores",1993 Apr,1367
45111,"Sporting goods stores",1993 May,1387
45111,"Sporting goods stores",1993 Jun,1457
45111,"Sporting goods stores",1993 Jul,1457
45111,"Sporting goods stores",1993 Aug,1531
45111,"Sporting goods stores",1993 Sep,1313
45111,"Sporting goods stores",1993 Oct,1199
45111,"Sporting goods stores",1993 Nov,1377
45111,"Sporting goods stores",1993 Dec,2474
443141,"Household appliance stores",1994 Jan,640
443141,"Household appliance stores",1994 Feb,592
443141,"Household appliance stores",1994 Mar,692
443141,"Household appliance stores",1994 Apr,676
443141,"Household appliance stores",1994 May,703
443141,"Household appliance stores",1994 Jun,829
443141,"Household appliance stores",1994 Jul,789
443141,"Household appliance stores",1994 Aug,771
443141,"Household appliance stores",1994 Sep,714
443141,"Household appliance stores",1994 Oct,746
443141,"Household appliance stores",1994 Nov,885
443141,"Household appliance stores",1994 Dec,1008
4441,"Building mat. and supplies dealers",1994 Jan,8393
4441,"Building mat. and supplies dealers",1994 Feb,8487
4441,"Building mat. and supplies dealers",1994 Mar,10682
4441,"Building mat. and supplies dealers",1994 Apr,11314
4441,"Building mat. and supplies dealers",1994 May,12236
4441,"Building mat. and supplies dealers",1994 Jun,12445
4441,"Building mat. and supplies dealers",1994 Jul,11852
4441,"Building mat. and supplies dealers",1994 Aug,12720
4441,"Building mat. and supplies dealers",1994 Sep,12139
4441,"Building mat. and supplies dealers",1994 Oct,12266
4441,"Building mat. and supplies dealers",1994 Nov,11557
4441,"Building mat. and supplies dealers",1994 Dec,11008
44812,"Women's clothing stores",1994 Jan,1786
44812,"Women's clothing stores",1994 Feb,1970
44812,"Women's clothing stores",1994 Mar,2560
44812,"Women's clothing stores",1994 Apr,2558
44812,"Women's clothing stores",1994 May,2552
44812,"Women's clothing stores",1994 Jun,2447
44812,"Women's clothing stores",1994 Jul,2248
44812,"Women's clothing stores",1994 Aug,2538
44812,"Women's clothing stores",1994 Sep,2418
44812,"Women's clothing stores",1994 Oct,2572
44812,"Women's clothing stores",1994 Nov,2798
44812,"Women's clothing stores",1994 Dec,4138
45111,"Sporting goods stores",1994 Jan,1168
45111,"Sporting goods stores",1994 Feb,1193
45111,"Sporting goods stores",1994 Mar,1488
45111,"Sporting goods stores",1994 Apr,1551
45111,"Sporting goods stores",1994 May,1551
45111,"Sporting goods stores",1994 Jun,1677
45111,"Sporting goods stores",1994 Jul,1584
45111,"Sporting goods stores",1994 Aug,1737
45111,"Sporting goods stores",1994 Sep,1470
45111,"Sporting goods stores",1994 Oct,1324
45111,"Sporting goods stores",1994 Nov,1471
45111,"Sporting goods stores",1994 Dec,2611
443141,"Household appliance stores",1995 Jan,744
443141,"Household appliance stores",1995 Feb,667
443141,"Household appliance stores",1995 Mar,794
443141,"Household appliance stores",1995 Apr,724
443141,"Household appliance stores",1995 May,823
443141,"Household appliance stores",1995 Jun,890
443141,"Household appliance stores",1995 Jul,923
443141,"Household appliance stores",1995 Aug,896
443141,"Household appliance stores",1995 Sep,799
443141,"Household appliance stores",1995 Oct,800
443141,"Household appliance stores",1995 Nov,893
443141,"Household appliance stores",1995 Dec,1027
4441,"Building mat. and supplies dealers",1995 Jan,9734
4441,"Building mat. and supplies dealers",1995 Feb,9496
4441,"Building mat. and supplies dealers",1995 Mar,11445
4441,"Building mat. and supplies dealers",1995 Apr,11416
4441,"Building mat. and supplies dealers",1995 May,12980
4441,"Building mat. and supplies dealers",1995 Jun,12995
4441,"Building mat. and supplies dealers",1995 Jul,12125
4441,"Building mat. and supplies dealers",1995 Aug,12894
4441,"Building mat. and supplies dealers",1995 Sep,12234
4441,"Building mat. and supplies dealers",1995 Oct,12767
4441,"Building mat. and supplies dealers",1995 Nov,11864
4441,"Building mat. and supplies dealers",1995 Dec,11078
44812,"Women's clothing stores",1995 Jan,1723
44812,"Women's clothing stores",1995 Feb,1810
44812,"Women's clothing stores",1995 Mar,2393
44812,"Women's clothing stores",1995 Apr,2438
44812,"Women's clothing stores",1995 May,2535
44812,"Women's clothing stores",1995 Jun,2357
44812,"Women's clothing stores",1995 Jul,2172
44812,"Women's clothing stores",1995 Aug,2326
44812,"Women's clothing stores",1995 Sep,2370
44812,"Women's clothing stores",1995 Oct,2312
44812,"Women's clothing stores",1995 Nov,2567
44812,"Women's clothing stores",1995 Dec,3693
45111,"Sporting goods stores",1995 Jan,1224
45111,"Sporting goods stores",1995 Feb,1248
45111,"Sporting goods stores",1995 Mar,1599
45111,"Sporting goods stores",1995 Apr,1606
45111,"Sporting goods stores",1995 May,1645
45111,"Sporting goods stores",1995 Jun,1750
45111,"Sporting goods stores",1995 Jul,1705
45111,"Sporting goods stores",1995 Aug,1846
45111,"Sporting goods stores",1995 Sep,1569
45111,"Sporting goods stores",1995 Oct,1398
45111,"Sporting goods stores",1995 Nov,1548
45111,"Sporting goods stores",1995 Dec,2731
443141,"Household appliance stores",1996 Jan,748
443141,"Household appliance stores",1996 Feb,699
443141,"Household appliance stores",1996 Mar,784
443141,"Household appliance stores",1996 Apr,802
443141,"Household appliance stores",1996 May,858
443141,"Household appliance stores",1996 Jun,853
443141,"Household appliance stores",1996 Jul,855
443141,"Household appliance stores",1996 Aug,899
443141,"Household appliance stores",1996 Sep,817
443141,"Household appliance stores",1996 Oct,856
443141,"Household appliance stores",1996 Nov,944
443141,"Household appliance stores",1996 Dec,1100
4441,"Building mat. and supplies dealers",1996 Jan,10050
4441,"Building mat. and supplies dealers",1996 Feb,10148
4441,"Building mat. and supplies dealers",1996 Mar,11357
4441,"Building mat. and supplies dealers",1996 Apr,12751
4441,"Building mat. and supplies dealers",1996 May,13919
4441,"Building mat. and supplies dealers",1996 Jun,13529
4441,"Building mat. and supplies dealers",1996 Jul,13874
4441,"Building mat. and supplies dealers",1996 Aug,13765
4441,"Building mat. and supplies dealers",1996 Sep,12970
4441,"Building mat. and supplies dealers",1996 Oct,14060
4441,"Building mat. and supplies dealers",1996 Nov,12549
4441,"Building mat. and supplies dealers",1996 Dec,11481
44812,"Women's clothing stores",1996 Jan,1565
44812,"Women's clothing stores",1996 Feb,1834
44812,"Women's clothing stores",1996 Mar,2193
44812,"Women's clothing stores",1996 Apr,2346
44812,"Women's clothing stores",1996 May,2552
44812,"Women's clothing stores",1996 Jun,2375
44812,"Women's clothing stores",1996 Jul,2072
44812,"Women's clothing stores",1996 Aug,2353
44812,"Women's clothing stores",1996 Sep,2276
44812,"Women's clothing stores",1996 Oct,2413
44812,"Women's clothing stores",1996 Nov,2594
44812,"Women's clothing stores",1996 Dec,3665
45111,"Sporting goods stores",1996 Jan,1327
45111,"Sporting goods stores",1996 Feb,1309
45111,"Sporting goods stores",1996 Mar,1649
45111,"Sporting goods stores",1996 Apr,1702
45111,"Sporting goods stores",1996 May,1773
45111,"Sporting goods stores",1996 Jun,1895
45111,"Sporting goods stores",1996 Jul,1833
45111,"Sporting goods stores",1996 Aug,1992
45111,"Sporting goods stores",1996 Sep,1594
45111,"Sporting goods stores",1996 Oct,1453
45111,"Sporting goods stores",1996 Nov,1608
45111,"Sporting goods stores",1996 Dec,2675
443141,"Household appliance stores",1997 Jan,778
443141,"Household appliance stores",1997 Feb,724
443141,"Household appliance stores",1997 Mar,809
443141,"Household appliance stores",1997 Apr,792
443141,"Household appliance stores",1997 May,841
443141,"Household appliance stores",1997 Jun,919
443141,"Household appliance stores",1997 Jul,970
443141,"Household appliance stores",1997 Aug,886
443141,"Household appliance stores",1997 Sep,828
443141,"Household appliance stores",1997 Oct,858
443141,"Household appliance stores",1997 Nov,903
443141,"Household appliance stores",1997 Dec,1066
4441,"Building mat. and supplies dealers",1997 Jan,10767
4441,"Building mat. and supplies dealers",1997 Feb,10740
4441,"Building mat. and supplies dealers",1997 Mar,12563
4441,"Building mat. and supplies dealers",1997 Apr,14083
4441,"Building mat. and supplies dealers",1997 May,14943
4441,"Building mat. and supplies dealers",1997 Jun,14716
4441,"Building mat. and supplies dealers",1997 Jul,15012
4441,"Building mat. and supplies dealers",1997 Aug,14189
4441,"Building mat. and supplies dealers",1997 Sep,14506
4441,"Building mat. and supplies dealers",1997 Oct,15003
4441,"Building mat. and supplies dealers",1997 Nov,12799
4441,"Building mat. and supplies dealers",1997 Dec,12747
44812,"Women's clothing stores",1997 Jan,1699
44812,"Women's clothing stores",1997 Feb,1813
44812,"Women's clothing stores",1997 Mar,2353
44812,"Women's clothing stores",1997 Apr,2227
44812,"Women's clothing stores",1997 May,2429
44812,"Women's clothing stores",1997 Jun,2199
44812,"Women's clothing stores",1997 Jul,2103
44812,"Women's clothing stores",1997 Aug,2334
44812,"Women's clothing stores",1997 Sep,2265
44812,"Women's clothing stores",1997 Oct,2358
44812,"Women's clothing stores",1997 Nov,2486
44812,"Women's clothing stores",1997 Dec,3556
45111,"Sporting goods stores",1997 Jan,1337
45111,"Sporting goods stores",1997 Feb,1331
45111,"Sporting goods stores",1997 Mar,1609
45111,"Sporting goods stores",1997 Apr,1726
45111,"Sporting goods stores",1997 May,1788
45111,"Sporting goods stores",1997 Jun,1970
45111,"Sporting goods stores",1997 Jul,1838
45111,"Sporting goods stores",1997 Aug,1955
45111,"Sporting goods stores",1997 Sep,1595
45111,"Sporting goods stores",1997 Oct,1521
45111,"Sporting goods stores",1997 Nov,1651
45111,"Sporting goods stores",1997 Dec,2846
443141,"Household appliance stores",1998 Jan,830
443141,"Household appliance stores",1998 Feb,769
443141,"Household appliance stores",1998 Mar,853
443141,"Household appliance stores",1998 Apr,839
443141,"Household appliance stores",1998 May,921
443141,"Household appliance stores",1998 Jun,999
443141,"Household appliance stores",1998 Jul,1043
443141,"Household appliance stores",1998 Aug,962
443141,"Household appliance stores",1998 Sep,889
443141,"Household appliance stores",1998 Oct,932
443141,"Household appliance stores",1998 Nov,947
443141,"Household appliance stores",1998 Dec,1115
4441,"Building mat. and supplies dealers",1998 Jan,11400
4441,"Building mat. and supplies dealers",1998 Feb,11326
4441,"Building mat. and supplies dealers",1998 Mar,13453
4441,"Building mat. and supplies dealers",1998 Apr,14815
4441,"Building mat. and supplies dealers",1998 May,15323
4441,"Building mat. and supplies dealers",1998 Jun,16078
4441,"Building mat. and supplies dealers",1998 Jul,15875
4441,"Building mat. and supplies dealers",1998 Aug,15048
4441,"Building mat. and supplies dealers",1998 Sep,15191
4441,"Building mat. and supplies dealers",1998 Oct,15676
4441,"Building mat. and supplies dealers",1998 Nov,14025
4441,"Building mat. and supplies dealers",1998 Dec,13991
44812,"Women's clothing stores",1998 Jan,1722
44812,"Women's clothing stores",1998 Feb,1767
44812,"Women's clothing stores",1998 Mar,2194
44812,"Women's clothing stores",1998 Apr,2507
44812,"Women's clothing stores",1998 May,2512
44812,"Women's clothing stores",1998 Jun,2254
44812,"Women's clothing stores",1998 Jul,2222
44812,"Women's clothing stores",1998 Aug,2327
44812,"Women's clothing stores",1998 Sep,2244
44812,"Women's clothing stores",1998 Oct,2422
44812,"Women's clothing stores",1998 Nov,2531
44812,"Women's clothing stores",1998 Dec,3630
45111,"Sporting goods stores",1998 Jan,1381
45111,"Sporting goods stores",1998 Feb,1407
45111,"Sporting goods stores",1998 Mar,1754
45111,"Sporting goods stores",1998 Apr,1820
45111,"Sporting goods stores",1998 May,1938
45111,"Sporting goods stores",1998 Jun,2120
45111,"Sporting goods stores",1998 Jul,1975
45111,"Sporting goods stores",1998 Aug,2038
45111,"Sporting goods stores",1998 Sep,1701
45111,"Sporting goods stores",1998 Oct,1607
45111,"Sporting goods stores",1998 Nov,1685
45111,"Sporting goods stores",1998 Dec,2858
443141,"Household appliance stores",1999 Jan,842
443141,"Household appliance stores",1999 Feb,814
443141,"Household appliance stores",1999 Mar,943
443141,"Household appliance stores",1999 Apr,926
443141,"Household appliance stores",1999 May,950
443141,"Household appliance stores",1999 Jun,1105
443141,"Household appliance stores",1999 Jul,1200
443141,"Household appliance stores",1999 Aug,1019
443141,"Household appliance stores",1999 Sep,989
443141,"Household appliance stores",1999 Oct,997
443141,"Household appliance stores",1999 Nov,1051
443141,"Household appliance stores",1999 Dec,1246
4441,"Building mat. and supplies dealers",1999 Jan,12020
4441,"Building mat. and supplies dealers",1999 Feb,12508
4441,"Building mat. and supplies dealers",1999 Mar,15156
4441,"Building mat. and supplies dealers",1999 Apr,16239
4441,"Building mat. and supplies dealers",1999 May,16717
4441,"Building mat. and supplies dealers",1999 Jun,17403
4441,"Building mat. and supplies dealers",1999 Jul,16977
4441,"Building mat. and supplies dealers",1999 Aug,16878
4441,"Building mat. and supplies dealers",1999 Sep,16299
4441,"Building mat. and supplies dealers",1999 Oct,16470
4441,"Building mat. and supplies dealers",1999 Nov,16032
4441,"Building mat. and supplies dealers",1999 Dec,15217
44812,"Women's clothing stores",1999 Jan,1745
44812,"Women's clothing stores",1999 Feb,1883
44812,"Women's clothing stores",1999 Mar,2507
44812,"Women's clothing stores",1999 Apr,2616
44812,"Women's clothing stores",1999 May,2687
44812,"Women's clothing stores",1999 Jun,2405
44812,"Women's clothing stores",1999 Jul,2303
44812,"Women's clothing stores",1999 Aug,2407
44812,"Women's clothing stores",1999 Sep,2353
44812,"Women's clothing stores",1999 Oct,2440
44812,"Women's clothing stores",1999 Nov,2564
44812,"Women's clothing stores",1999 Dec,3639
45111,"Sporting goods stores",1999 Jan,1485
45111,"Sporting goods stores",1999 Feb,1469
45111,"Sporting goods stores",1999 Mar,1827
45111,"Sporting goods stores",1999 Apr,1888
45111,"Sporting goods stores",1999 May,1993
45111,"Sporting goods stores",1999 Jun,2215
45111,"Sporting goods stores",1999 Jul,2062
45111,"Sporting goods stores",1999 Aug,2143
45111,"Sporting goods stores",1999 Sep,1847
45111,"Sporting goods stores",1999 Oct,1711
45111,"Sporting goods stores",1999 Nov,1832
45111,"Sporting goods stores",1999 Dec,3227
443141,"Household appliance stores",2000 Jan,926
443141,"Household appliance stores",2000 Feb,929
443141,"Household appliance stores",2000 Mar,1013
443141,"Household appliance stores",2000 Apr,962
443141,"Household appliance stores",2000 May,1108
443141,"Household appliance stores",2000 Jun,1119
443141,"Household appliance stores",2000 Jul,1037
443141,"Household appliance stores",2000 Aug,1088
443141,"Household appliance stores",2000 Sep,1031
443141,"Household appliance stores",2000 Oct,1045
443141,"Household appliance stores",2000 Nov,1124
443141,"Household appliance stores",2000 Dec,1248
4441,"Building mat. and supplies dealers",2000 Jan,13314
4441,"Building mat. and supplies dealers",2000 Feb,14047
4441,"Building mat. and supplies dealers",2000 Mar,17061
4441,"Building mat. and supplies dealers",2000 Apr,16665
4441,"Building mat. and supplies dealers",2000 May,18953
4441,"Building mat. and supplies dealers",2000 Jun,18499
4441,"Building mat. and supplies dealers",2000 Jul,17261
4441,"Building mat. and supplies dealers",2000 Aug,17919
4441,"Building mat. and supplies dealers",2000 Sep,16546
4441,"Building mat. and supplies dealers",2000 Oct,17228
4441,"Building mat. and supplies dealers",2000 Nov,15650
4441,"Building mat. and supplies dealers",2000 Dec,14506
44812,"Women's clothing stores",2000 Jan,1682
44812,"Women's clothing stores",2000 Feb,1991
44812,"Women's clothing stores",2000 Mar,2670
44812,"Women's clothing stores",2000 Apr,2706
44812,"Women's clothing stores",2000 May,2810
44812,"Women's clothing stores",2000 Jun,2564
44812,"Women's clothing stores",2000 Jul,2382
44812,"Women's clothing stores",2000 Aug,2640
44812,"Women's clothing stores",2000 Sep,2658
44812,"Women's clothing stores",2000 Oct,2648
44812,"Women's clothing stores",2000 Nov,2823
44812,"Women's clothing stores",2000 Dec,3873
45111,"Sporting goods stores",2000 Jan,1591
45111,"Sporting goods stores",2000 Feb,1681
45111,"Sporting goods stores",2000 Mar,2065
45111,"Sporting goods stores",2000 Apr,1991
45111,"Sporting goods stores",2000 May,2187
45111,"Sporting goods stores",2000 Jun,2319
45111,"Sporting goods stores",2000 Jul,2237
45111,"Sporting goods stores",2000 Aug,2257
45111,"Sporting goods stores",2000 Sep,2007
45111,"Sporting goods stores",2000 Oct,1725
45111,"Sporting goods stores",2000 Nov,1939
45111,"Sporting goods stores",2000 Dec,3309
443141,"Household appliance stores",2001 Jan,996
443141,"Household appliance stores",2001 Feb,938
443141,"Household appliance stores",2001 Mar,1043
443141,"Household appliance stores",2001 Apr,999
443141,"Household appliance stores",2001 May,1079
443141,"Household appliance stores",2001 Jun,1166
443141,"Household appliance stores",2001 Jul,1142
443141,"Household appliance stores",2001 Aug,1226
443141,"Household appliance stores",2001 Sep,1047
443141,"Household appliance stores",2001 Oct,1164
443141,"Household appliance stores",2001 Nov,1249
443141,"Household appliance stores",2001 Dec,1430
4441,"Building mat. and supplies dealers",2001 Jan,13744
4441,"Building mat. and supplies dealers",2001 Feb,13643
4441,"Building mat. and supplies dealers",2001 Mar,16488
4441,"Building mat. and supplies dealers",2001 Apr,18241
4441,"Building mat. and supplies dealers",2001 May,20031
4441,"Building mat. and supplies dealers",2001 Jun,19188
4441,"Building mat. and supplies dealers",2001 Jul,18559
4441,"Building mat. and supplies dealers",2001 Aug,19031
4441,"Building mat. and supplies dealers",2001 Sep,16828
4441,"Building mat. and supplies dealers",2001 Oct,18712
4441,"Building mat. and supplies dealers",2001 Nov,17111
4441,"Building mat. and supplies dealers",2001 Dec,15444
44812,"Women's clothing stores",2001 Jan,1946
44812,"Women's clothing stores",2001 Feb,2154
44812,"Women's clothing stores",2001 Mar,2671
44812,"Women's clothing stores",2001 Apr,2801
44812,"Women's clothing stores",2001 May,2747
44812,"Women's clothing stores",2001 Jun,2507
44812,"Women's clothing stores",2001 Jul,2311
44812,"Women's clothing stores",2001 Aug,2661
44812,"Women's clothing stores",2001 Sep,2394
44812,"Women's clothing stores",2001 Oct,2615
44812,"Women's clothing stores",2001 Nov,2786
44812,"Women's clothing stores",2001 Dec,3860
45111,"Sporting goods stores",2001 Jan,1739
45111,"Sporting goods stores",2001 Feb,1704
45111,"Sporting goods stores",2001 Mar,2111
45111,"Sporting goods stores",2001 Apr,2071
45111,"Sporting goods stores",2001 May,2185
45111,"Sporting goods stores",2001 Jun,2352
45111,"Sporting goods stores",2001 Jul,2199
45111,"Sporting goods stores",2001 Aug,2382
45111,"Sporting goods stores",2001 Sep,1984
45111,"Sporting goods stores",2001 Oct,1882
45111,"Sporting goods stores",2001 Nov,2151
45111,"Sporting goods stores",2001 Dec,3398
443141,"Household appliance stores",2002 Jan,1085
443141,"Household appliance stores",2002 Feb,1036
443141,"Household appliance stores",2002 Mar,1152
443141,"Household appliance stores",2002 Apr,1160
443141,"Household appliance stores",2002 May,1194
443141,"Household appliance stores",2002 Jun,1209
443141,"Household appliance stores",2002 Jul,1285
443141,"Household appliance stores",2002 Aug,1204
443141,"Household appliance stores",2002 Sep,1111
443141,"Household appliance stores",2002 Oct,1157
443141,"Household appliance stores",2002 Nov,1228
443141,"Household appliance stores",2002 Dec,1384
4441,"Building mat. and supplies dealers",2002 Jan,14957
4441,"Building mat. and supplies dealers",2002 Feb,14458
4441,"Building mat. and supplies dealers",2002 Mar,16873
4441,"Building mat. and supplies dealers",2002 Apr,20038
