"naics","business","month","sales_millions"
44812,"Women's clothing stores",2012 Jul,3094
44812,"Women's clothing stores",2012 Aug,3284
44812,"Women's clothing stores",2012 Sep,3339
44812,"Women's clothing stores",2012 Oct,3482
44812,"Women's clothing stores",2012 Nov,3823
44812,"Women's clothing stores",2012 Dec,4693
45111,"Sporting goods stores",2012 Jan,2505
45111,"Sporting goods stores",2012 Feb,2723
45111,"Sporting goods stores",2012 Mar,3607
45111,"Sporting goods stores",2012 Apr,3304
45111,"Sporting goods stores",2012 May,3455
45111,"Sporting goods stores",2012 Jun,3829
45111,"Sporting goods stores",2012 Jul,3551
45111,"Sporting goods stores",2012 Aug,3969
45111,"Sporting goods stores",2012 Sep,3161
45111,"Sporting goods stores",2012 Oct,2959
45111,"Sporting goods stores",2012 Nov,3478
45111,"Sporting goods stores",2012 Dec,5601
443141,"Household appliance stores",2013 Jan,1241
443141,"Household appliance stores",2013 Feb,1291
443141,"Household appliance stores",2013 Mar,1380
443141,"Household appliance stores",2013 Apr,1310
443141,"Household appliance stores",2013 May,1481
443141,"Household appliance stores",2013 Jun,1407
443141,"Household appliance stores",2013 Jul,1498
443141,"Household appliance stores",2013 Aug,1476
443141,"Household appliance stores",2013 Sep,1408
443141,"Household appliance stores",2013 Oct,1449
443141,"Household appliance stores",2013 Nov,1606
443141,"Household appliance stores",2013 Dec,1644
4441,"Building mat. and supplies dealers",2013 Jan,17035
4441,"Building mat. and supplies dealers",2013 Feb,16376
4441,"Building mat. and supplies dealers",2013 Mar,19739
4441,"Building mat. and supplies dealers",2013 Apr,23782
4441,"Building mat. and supplies dealers",2013 May,26419
4441,"Building mat. and supplies dealers",2013 Jun,23388
4441,"Building mat. and supplies dealers",2013 Jul,23887
4441,"Building mat. and supplies dealers",2013 Aug,23021
4441,"Building mat. and supplies dealers",2013 Sep,21391
4441,"Building mat. and supplies dealers",2013 Oct,22841
4441,"Building mat. and supplies dealers",2013 Nov,20837
4441,"Building mat. and supplies dealers",2013 Dec,19058
44812,"Women's clothing stores",2013 Jan,2661
44812,"Women's clothing stores",2013 Feb,2801
44812,"Women's clothing stores",2013 Mar,3726
44812,"Women's clothing stores",2013 Apr,3503
44812,"Women's clothing stores",2013 May,3733
44812,"Women's clothing stores",2013 Jun,3261
44812,"Women's clothing stores",2013 Jul,3171
44812,"Women's clothing stores",2013 Aug,3469
44812,"Women's clothing stores",2013 Sep,3277
44812,"Women's clothing stores",2013 Oct,3497
44812,"Women's clothing stores",2013 Nov,3808
44812,"Women's clothing stores",2013 Dec,4720
45111,"Sporting goods stores",2013 Jan,3070
45111,"Sporting goods stores",2013 Feb,3016
45111,"Sporting goods stores",2013 Mar,3830
45111,"Sporting goods stores",2013 Apr,3427
45111,"Sporting goods stores",2013 May,3657
45111,"Sporting goods stores",2013 Jun,3954
45111,"Sporting goods stores",2013 Jul,3818
45111,"Sporting goods stores",2013 Aug,4159
45111,"Sporting goods stores",2013 Sep,3230
45111,"Sporting goods stores",2013 Oct,3161
45111,"Sporting goods stores",2013 Nov,3749
45111,"Sporting goods stores",2013 Dec,5515
443141,"Household appliance stores",2014 Jan,1261
443141,"Household appliance stores",2014 Feb,1275
443141,"Household appliance stores",2014 Mar,1405
443141,"Household appliance stores",2014 Apr,1294
443141,"Household appliance stores",2014 May,1444
443141,"Household appliance stores",2014 Jun,1443
443141,"Household appliance stores",2014 Jul,1475
443141,"Household appliance stores",2014 Aug,1461
443141,"Household appliance stores",2014 Sep,1445
443141,"Household appliance stores",2014 Oct,1458
443141,"Household appliance stores",2014 Nov,1602
443141,"Household appliance stores",2014 Dec,1632
4441,"Building mat. and supplies dealers",2014 Jan,17518
4441,"Building mat. and supplies dealers",2014 Feb,16677
4441,"Building mat. and supplies dealers",2014 Mar,20539
4441,"Building mat. and supplies dealers",2014 Apr,24344
4441,"Building mat. and supplies dealers",2014 May,27039
4441,"Building mat. and supplies dealers",2014 Jun,25344
4441,"Building mat. and supplies dealers",2014 Jul,25282
4441,"Building mat. and supplies dealers",2014 Aug,23567
4441,"Building mat. and supplies dealers",2014 Sep,23432
4441,"Building mat. and supplies dealers",2014 Oct,24059
4441,"Building mat. and supplies dealers",2014 Nov,21675
4441,"Building mat. and supplies dealers",2014 Dec,20776
44812,"Women's clothing stores",2014 Jan,2452
44812,"Women's clothing stores",2014 Feb,2802
44812,"Women's clothing stores",2014 Mar,3521
44812,"Women's clothing stores",2014 Apr,3575
44812,"Women's clothing stores",2014 May,3743
44812,"Women's clothing stores",2014 Jun,3157
44812,"Women's clothing stores",2014 Jul,3152
44812,"Women's clothing stores",2014 Aug,3426
44812,"Women's clothing stores",2014 Sep,3221
44812,"Women's clothing stores",2014 Oct,3458
44812,"Women's clothing stores",2014 Nov,3830
44812,"Women's clothing stores",2014 Dec,4919
45111,"Sporting goods stores",2014 Jan,2722
45111,"Sporting goods stores",2014 Feb,2802
45111,"Sporting goods stores",2014 Mar,3551
45111,"Sporting goods stores",2014 Apr,3518
45111,"Sporting goods stores",2014 May,3679
45111,"Sporting goods stores",2014 Jun,3932
45111,"Sporting goods stores",2014 Jul,3840
45111,"Sporting goods stores",2014 Aug,4384
45111,"Sporting goods stores",2014 Sep,3517
45111,"Sporting goods stores",2014 Oct,3433
45111,"Sporting goods stores",2014 Nov,3899
45111,"Sporting goods stores",2014 Dec,5836
443141,"Household appliance stores",2015 Jan,1271
443141,"Household appliance stores",2015 Feb,1248
443141,"Household appliance stores",2015 Mar,1414
443141,"Household appliance stores",2015 Apr,1335
443141,"Household appliance stores",2015 May,1513
443141,"Household appliance stores",2015 Jun,1524
443141,"Household appliance stores",2015 Jul,1537
443141,"Household appliance stores",2015 Aug,1430
443141,"Household appliance stores",2015 Sep,1463
443141,"Household appliance stores",2015 Oct,1396
443141,"Household appliance stores",2015 Nov,1549
443141,"Household appliance stores",2015 Dec,1603
4441,"Building mat. and supplies dealers",2015 Jan,18499
4441,"Building mat. and supplies dealers",2015 Feb,17326
4441,"Building mat. and supplies dealers",2015 Mar,22566
4441,"Building mat. and supplies dealers",2015 Apr,25290
4441,"Building mat. and supplies dealers",2015 May,26567
4441,"Building mat. and supplies dealers",2015 Jun,26269
4441,"Building mat. and supplies dealers",2015 Jul,26316
4441,"Building mat. and supplies dealers",2015 Aug,24104
4441,"Building mat. and supplies dealers",2015 Sep,23979
4441,"Building mat. and supplies dealers",2015 Oct,24394
4441,"Building mat. and supplies dealers",2015 Nov,23124
4441,"Building mat. and supplies dealers",2015 Dec,23011
44812,"Women's clothing stores",2015 Jan,2503
44812,"Women's clothing stores",2015 Feb,2753
44812,"Women's clothing stores",2015 Mar,3495
44812,"Women's clothing stores",2015 Apr,3421
44812,"Women's clothing stores",2015 May,3699
44812,"Women's clothing stores",2015 Jun,3196
44812,"Women's clothing stores",2015 Jul,3157
44812,"Women's clothing stores",2015 Aug,3357
44812,"Women's clothing stores",2015 Sep,3115
44812,"Women's clothing stores",2015 Oct,3435
44812,"Women's clothing stores",2015 Nov,3631
44812,"Women's clothing stores",2015 Dec,4830
45111,"Sporting goods stores",2015 Jan,2871
45111,"Sporting goods stores",2015 Feb,2864
45111,"Sporting goods stores",2015 Mar,3735
45111,"Sporting goods stores",2015 Apr,3617
45111,"Sporting goods stores",2015 May,3878
45111,"Sporting goods stores",2015 Jun,4152
45111,"Sporting goods stores",2015 Jul,4158
45111,"Sporting goods stores",2015 Aug,4389
45111,"Sporting goods stores",2015 Sep,3699
45111,"Sporting goods stores",2015 Oct,3470
45111,"Sporting goods stores",2015 Nov,3881
45111,"Sporting goods stores",2015 Dec,6217
443141,"Household appliance stores",2016 Jan,1242
443141,"Household appliance stores",2016 Feb,1344
443141,"Household appliance stores",2016 Mar,1407
443141,"Household appliance stores",2016 Apr,1331
443141,"Household appliance stores",2016 May,1460
443141,"Household appliance stores",2016 Jun,1542
443141,"Household appliance stores",2016 Jul,1497
443141,"Household appliance stores",2016 Aug,1504
443141,"Household appliance stores",2016 Sep,1515
443141,"Household appliance stores",2016 Oct,1393
443141,"Household appliance stores",2016 Nov,1644
443141,"Household appliance stores",2016 Dec,1630
4441,"Building mat. and supplies dealers",2016 Jan,19166
4441,"Building mat. and supplies dealers",2016 Feb,20044
4441,"Building mat. and supplies dealers",2016 Mar,24811
4441,"Building mat. and supplies dealers",2016 Apr,26178
4441,"Building mat. and supplies dealers",2016 May,28047
4441,"Building mat. and supplies dealers",2016 Jun,28223
4441,"Building mat. and supplies dealers",2016 Jul,25924
4441,"Building mat. and supplies dealers",2016 Aug,25907
4441,"Building mat. and supplies dealers",2016 Sep,24876
4441,"Building mat. and supplies dealers",2016 Oct,24508
4441,"Building mat. and supplies dealers",2016 Nov,24627
4441,"Building mat. and supplies dealers",2016 Dec,22754
44812,"Women's clothing stores",2016 Jan,2444
44812,"Women's clothing stores",2016 Feb,2903
44812,"Women's clothing stores",2016 Mar,3612
44812,"Women's clothing stores",2016 Apr,3476
44812,"Women's clothing stores",2016 May,3560
44812,"Women's clothing stores",2016 Jun,3198
44812,"Women's clothing stores",2016 Jul,3097
44812,"Women's clothing stores",2016 Aug,3338
44812,"Women's clothing stores",2016 Sep,3118
44812,"Women's clothing stores",2016 Oct,3215
44812,"Women's clothing stores",2016 Nov,3646
44812,"Women's clothing stores",2016 Dec,4616
45111,"Sporting goods stores",2016 Jan,3106
45111,"Sporting goods stores",2016 Feb,3237
45111,"Sporting goods stores",2016 Mar,4076
45111,"Sporting goods stores",2016 Apr,3794
45111,"Sporting goods stores",2016 May,3942
45111,"Sporting goods stores",2016 Jun,4635
45111,"Sporting goods stores",2016 Jul,4318
45111,"Sporting goods stores",2016 Aug,4307
45111,"Sporting goods stores",2016 Sep,3591
45111,"Sporting goods stores",2016 Oct,3400
45111,"Sporting goods stores",2016 Nov,3877
45111,"Sporting goods stores",2016 Dec,5848
443141,"Household appliance stores",2017 Jan,1300
443141,"Household appliance stores",2017 Feb,1288
443141,"Household appliance stores",2017 Mar,1491
443141,"Household appliance stores",2017 Apr,1349
443141,"Household appliance stores",2017 May,1452
443141,"Household appliance stores",2017 Jun,1447
443141,"Household appliance stores",2017 Jul,1396
443141,"Household appliance stores",2017 Aug,1388
443141,"Household appliance stores",2017 Sep,1386
443141,"Household appliance stores",2017 Oct,1361
443141,"Household appliance stores",2017 Nov,1514
443141,"Household appliance stores",2017 Dec,1434
4441,"Building mat. and supplies dealers",2017 Jan,20248
4441,"Building mat. and supplies dealers",2017 Feb,19955
4441,"Building mat. and supplies dealers",2017 Mar,25207
4441,"Building mat. and supplies dealers",2017 Apr,25954
4441,"Building mat. and supplies dealers",2017 May,29756
4441,"Building mat. and supplies dealers",2017 Jun,28832
4441,"Building mat. and supplies dealers",2017 Jul,26493
4441,"Building mat. and supplies dealers",2017 Aug,27029
4441,"Building mat. and supplies dealers",2017 Sep,26020
4441,"Building mat. and supplies dealers",2017 Oct,26547
4441,"Building mat. and supplies dealers",2017 Nov,25969
4441,"Building mat. and supplies dealers",2017 Dec,23461
44812,"Women's clothing stores",2017 Jan,2380
44812,"Women's clothing stores",2017 Feb,2676
44812,"Women's clothing stores",2017 Mar,3370
44812,"Women's clothing stores",2017 Apr,3498
44812,"Women's clothing stores",2017 May,3487
44812,"Women's clothing stores",2017 Jun,3218
44812,"Women's clothing stores",2017 Jul,3080
44812,"Women's clothing stores",2017 Aug,3169
44812,"Women's clothing stores",2017 Sep,3003
44812,"Women's clothing stores",2017 Oct,3175
44812,"Women's clothing stores",2017 Nov,3635
44812,"Women's clothing stores",2017 Dec,4521
45111,"Sporting goods stores",2017 Jan,2963
45111,"Sporting goods stores",2017 Feb,3038
45111,"Sporting goods stores",2017 Mar,3792
45111,"Sporting goods stores",2017 Apr,3654
45111,"Sporting goods stores",2017 May,3811
45111,"Sporting goods stores",2017 Jun,4115
45111,"Sporting goods stores",2017 Jul,3919
45111,"Sporting goods stores",2017 Aug,4225
45111,"Sporting goods stores",2017 Sep,3567
45111,"Sporting goods stores",2017 Oct,3393
45111,"Sporting goods stores",2017 Nov,3984
45111,"Sporting goods stores",2017 Dec,5504
443141,"Household appliance stores",2018 Jan,1230
443141,"Household appliance stores",2018 Feb,1225
443141,"Household appliance stores",2018 Mar,1421
443141,"Household appliance stores",2018 Apr,1322
443141,"Household appliance stores",2018 May,1506
443141,"Household appliance stores",2018 Jun,1489
443141,"Household appliance stores",2018 Jul,1473
443141,"Household appliance stores",2018 Aug,1530
443141,"Household appliance stores",2018 Sep,1356
443141,"Household appliance stores",2018 Oct,1425
443141,"Household appliance stores",2018 Nov,1543
443141,"Household appliance stores",2018 Dec,1416
4441,"Building mat. and supplies dealers",2018 Jan,21112
4441,"Building mat. and supplies dealers",2018 Feb,20800
4441,"Building mat. and supplies dealers",2018 Mar,25724
4441,"Building mat. and supplies dealers",2018 Apr,27480
4441,"Building mat. and supplies dealers",2018 May,32433
4441,"Building mat. and supplies dealers",2018 Jun,30656
4441,"Building mat. and supplies dealers",2018 Jul,29739
4441,"Building mat. and supplies dealers",2018 Aug,28719
4441,"Building mat. and supplies dealers",2018 Sep,26101
4441,"Building mat. and supplies dealers",2018 Oct,28621
4441,"Building mat. and supplies dealers",2018 Nov,26496
4441,"Building mat. and supplies dealers",2018 Dec,24020
44812,"Women's clothing stores",2018 Jan,2320
44812,"Women's clothing stores",2018 Feb,2642
44812,"Women's clothing stores",2018 Mar,3439
44812,"Women's clothing stores",2018 Apr,3328
44812,"Women's clothing stores",2018 May,3787
44812,"Women's clothing stores",2018 Jun,3232
44812,"Women's clothing stores",2018 Jul,3090
44812,"Women's clothing stores",2018 Aug,3257
44812,"Women's clothing stores",2018 Sep,3060
44812,"Women's clothing stores",2018 Oct,3363
44812,"Women's clothing stores",2018 Nov,3982
44812,"Women's clothing stores",2018 Dec,4398
45111,"Sporting goods stores",2018 Jan,2784
45111,"Sporting goods stores",2018 Feb,3036
45111,"Sporting goods stores",2018 Mar,3800
45111,"Sporting goods stores",2018 Apr,3543
45111,"Sporting goods stores",2018 May,3794
45111,"Sporting goods stores",2018 Jun,4078
45111,"Sporting goods stores",2018 Jul,3860
45111,"Sporting goods stores",2018 Aug,4072
45111,"Sporting goods stores",2018 Sep,3141
45111,"Sporting goods stores",2018 Oct,3207
45111,"Sporting goods stores",2018 Nov,3691
45111,"Sporting goods stores",2018 Dec,5011
443141,"Household appliance stores",2019 Jan,1221
443141,"Household appliance stores",2019 Feb,1202
443141,"Household appliance stores",2019 Mar,1364
443141,"Household appliance stores",2019 Apr,1340
443141,"Household appliance stores",2019 May,1506
443141,"Household appliance stores",2019 Jun,1432
443141,"Household appliance stores",2019 Jul,1558
443141,"Household appliance stores",2019 Aug,1500
443141,"Household appliance stores",2019 Sep,1384
443141,"Household appliance stores",2019 Oct,1435
443141,"Household appliance stores",2019 Nov,1525
443141,"Household appliance stores",2019 Dec,1443
4441,"Building mat. and supplies dealers",2019 Jan,23461
4441,"Building mat. and supplies dealers",2019 Feb,21083
4441,"Building mat. and supplies dealers",2019 Mar,25899
4441,"Building mat. and supplies dealers",2019 Apr,29266
4441,"Building mat. and supplies dealers",2019 May,32244
4441,"Building mat. and supplies dealers",2019 Jun,29288
4441,"Building mat. and supplies dealers",2019 Jul,29932
4441,"Building mat. and supplies dealers",2019 Aug,28888
4441,"Building mat. and supplies dealers",2019 Sep,26611
4441,"Building mat. and supplies dealers",2019 Oct,28631
4441,"Building mat. and supplies dealers",2019 Nov,26141
4441,"Building mat. and supplies dealers",2019 Dec,24854
44812,"Women's clothing stores",2019 Jan,2350
44812,"Women's clothing stores",2019 Feb,2509
44812,"Women's clothing stores",2019 Mar,3350
44812,"Women's clothing stores",2019 Apr,3344
44812,"Women's clothing stores",2019 May,3568
44812,"Women's clothing stores",2019 Jun,3046
44812,"Women's clothing stores",2019 Jul,3034
44812,"Women's clothing stores",2019 Aug,3102
44812,"Women's clothing stores",2019 Sep,2882
44812,"Women's clothing stores",2019 Oct,3194
44812,"Women's clothing stores",2019 Nov,3628
44812,"Women's clothing stores",2019 Dec,4355
45111,"Sporting goods stores",2019 Jan,2743
45111,"Sporting goods stores",2019 Feb,2837
45111,"Sporting goods stores",2019 Mar,3650
45111,"Sporting goods stores",2019 Apr,3629
45111,"Sporting goods stores",2019 May,3776
45111,"Sporting goods stores",2019 Jun,4111
45111,"Sporting goods stores",2019 Jul,4080
45111,"Sporting goods stores",2019 Aug,4311
45111,"Sporting goods stores",2019 Sep,3355
45111,"Sporting goods stores",2019 Oct,3474
45111,"Sporting goods stores",2019 Nov,3771
45111,"Sporting goods stores",2019 Dec,5258
443141,"Household appliance stores",2020 Jan,1243
443141,"Household appliance stores",2020 Feb,1243
443141,"Household appliance stores",2020 Mar,1288
443141,"Household appliance stores",2020 Apr,1129
443141,"Household appliance stores",2020 May,1439
443141,"Household appliance stores",2020 Jun,1677
443141,"Household appliance stores",2020 Jul,1722
443141,"Household appliance stores",2020 Aug,1734
443141,"Household appliance stores",2020 Sep,1648
443141,"Household appliance stores",2020 Oct,1698
443141,"Household appliance stores",2020 Nov,1677
443141,"Household appliance stores",2020 Dec,1731
4441,"Building mat. and supplies dealers",2020 Jan,23544
4441,"Building mat. and supplies dealers",2020 Feb,22860
4441,"Building mat. and supplies dealers",2020 Mar,27723
4441,"Building mat. and supplies dealers",2020 Apr,29679
4441,"Building mat. and supplies dealers",2020 May,35587
4441,"Building mat. and supplies dealers",2020 Jun,36009
4441,"Building mat. and supplies dealers",2020 Jul,34488
4441,"Building mat. and supplies dealers",2020 Aug,32267
4441,"Building mat. and supplies dealers",2020 Sep,32282
4441,"Building mat. and supplies dealers",2020 Oct,32621
4441,"Building mat. and supplies dealers",2020 Nov,30293
4441,"Building mat. and supplies dealers",2020 Dec,29791
44812,"Women's clothing stores",2020 Jan,2436
44812,"Women's clothing stores",2020 Feb,2690
44812,"Women's clothing stores",2020 Mar,1542
44812,"Women's clothing stores",2020 Apr,519
44812,"Women's clothing stores",2020 May,1119
44812,"Women's clothing stores",2020 Jun,2088
44812,"Women's clothing stores",2020 Jul,2509
44812,"Women's clothing stores",2020 Aug,2549
44812,"Women's clothing stores",2020 Sep,2632
44812,"Women's clothing stores",2020 Oct,2788
44812,"Women's clothing stores",2020 Nov,2907
44812,"Women's clothing stores",2020 Dec,3643
45111,"Sporting goods stores",2020 Jan,2937
45111,"Sporting goods stores",2020 Feb,3046
45111,"Sporting goods stores",2020 Mar,3389
45111,"Sporting goods stores",2020 Apr,2557
45111,"Sporting goods stores",2020 May,4301
45111,"Sporting goods stores",2020 Jun,5763
45111,"Sporting goods stores",2020 Jul,5357
45111,"Sporting goods stores",2020 Aug,5004
45111,"Sporting goods stores",2020 Sep,4646
45111,"Sporting goods stores",2020 Oct,4518
45111,"Sporting goods stores",2020 Nov,4567
45111,"Sporting goods stores",2020 Dec,6648
443141,"Household appliance stores",2021 Jan,1597
443141,"Household appliance stores",2021 Feb,1459
443141,"Household appliance stores",2021 Mar,1913
443141,"Household appliance stores",2021 Apr,1809
443141,"Household appliance stores",2021 May,1734
443141,"Household appliance stores",2021 Jun,1865
443141,"Household appliance stores",2021 Jul,1805
443141,"Household appliance stores",2021 Aug,1771
443141,"Household appliance stores",2021 Sep,1758
443141,"Household appliance stores",2021 Oct,1742
443141,"Household appliance stores",2021 Nov,1805
443141,"Household appliance stores",2021 Dec,1719
4441,"Building mat. and supplies dealers",2021 Jan,26836
4441,"Building mat. and supplies dealers",2021 Feb,25395
4441,"Building mat. and supplies dealers",2021 Mar,36967
4441,"Building mat. and supplies dealers",2021 Apr,39564
4441,"Building mat. and supplies dealers",2021 May,39725
4441,"Building mat. and supplies dealers",2021 Jun,39212
4441,"Building mat. and supplies dealers",2021 Jul,36461
4441,"Building mat. and supplies dealers",2021 Aug,35127
4441,"Building mat. and supplies dealers",2021 Sep,34451
4441,"Building mat. and supplies dealers",2021 Oct,34740
4441,"Building mat. and supplies dealers",2021 Nov,35086
4441,"Building mat. and supplies dealers",2021 Dec,33441
44812,"Women's clothing stores",2021 Jan,2183
44812,"Women's clothing stores",2021 Feb,2184
44812,"Women's clothing stores",2021 Mar,3309
44812,"Women's clothing stores",2021 Apr,3329
44812,"Women's clothing stores",2021 May,3596
44812,"Women's clothing stores",2021 Jun,3449
44812,"Women's clothing stores",2021 Jul,3538
44812,"Women's clothing stores",2021 Aug,3319
44812,"Women's clothing stores",2021 Sep,3233
44812,"Women's clothing stores",2021 Oct,3370
44812,"Women's clothing stores",2021 Nov,3922
44812,"Women's clothing stores",2021 Dec,4509
45111,"Sporting goods stores",2021 Jan,4182
45111,"Sporting goods stores",2021 Feb,3692
45111,"Sporting goods stores",2021 Mar,5858
45111,"Sporting goods stores",2021 Apr,5581
45111,"Sporting goods stores",2021 May,5450
45111,"Sporting goods stores",2021 Jun,5898
45111,"Sporting goods stores",2021 Jul,5517
45111,"Sporting goods stores",2021 Aug,5722
45111,"Sporting goods stores",2021 Sep,4792
45111,"Sporting goods stores",2021 Oct,4823
45111,"Sporting goods stores",2021 Nov,5579
45111,"Sporting goods stores",2021 Dec,7407
443141,"Household appliance stores",2022 Jan,1523
443141,"Household appliance stores",2022 Feb,1536
443141,"Household appliance stores",2022 Mar,1777
443141,"Household appliance stores",2022 Apr,1703
443141,"Household appliance stores",2022 May,1762
443141,"Household appliance stores",2022 Jun,1786
443141,"Household appliance stores",2022 Jul,1698
443141,"Household appliance stores",2022 Aug,1801
443141,"Household appliance stores",2022 Sep,1633
443141,"Household appliance stores",2022 Oct,1624
443141,"Household appliance stores",2022 Nov,1730
443141,"Household appliance stores",2022 Dec,1643
4441,"Building mat. and supplies dealers",2022 Jan,29835
4441,"Building mat. and supplies dealers",2022 Feb,29520
4441,"Building mat. and supplies dealers",2022 Mar,38847
4441,"Building mat. and supplies dealers",2022 Apr,39626
4441,"Building mat. and supplies dealers",2022 May,43063
4441,"Building mat. and supplies dealers",2022 Jun,41913
4441,"Building mat. and supplies dealers",2022 Jul,38435
4441,"Building mat. and supplies dealers",2022 Aug,40043
4441,"Building mat. and supplies dealers",2022 Sep,37651
4441,"Building mat. and supplies dealers",2022 Oct,37640
4441,"Building mat. and supplies dealers",2022 Nov,35575
4441,"Building mat. and supplies dealers",2022 Dec,33610
44812,"Women's clothing stores",2022 Jan,2484
44812,"Women's clothing stores",2022 Feb,2813
44812,"Women's clothing stores",2022 Mar,3793
44812,"Women's clothing stores",2022 Apr,3733
44812,"Women's clothing stores",2022 May,3815
44812,"Women's clothing stores",2022 Jun,3333
44812,"Women's clothing stores",2022 Jul,3305
44812,"Women's clothing stores",2022 Aug,3396
44812,"Women's clothing stores",2022 Sep,3279
44812,"Women's clothing stores",2022 Oct,3339
44812,"Women's clothing stores",2022 Nov,3888
44812,"Women's clothing stores",2022 Dec,4660
45111,"Sporting goods stores",2022 Jan,3886
45111,"Sporting goods stores",2022 Feb,4022
45111,"Sporting goods stores",2022 Mar,5271
45111,"Sporting goods stores",2022 Apr,5228
45111,"Sporting goods stores",2022 May,5278
45111,"Sporting goods stores",2022 Jun,5949
45111,"Sporting goods stores",2022 Jul,5658
45111,"Sporting goods stores",2022 Aug,5887
45111,"Sporting goods stores",2022 Sep,4953
45111,"Sporting goods stores",2022 Oct,4957
45111,"Sporting goods stores",2022 Nov,5271
45111,"Sporting goods stores",2022 Dec,7385
